Id,Category
1,1
2,1
3,5
4,3
5,3
6,6
7,1
8,3
9,1
10,2
11,5
12,7
13,2
14,1
15,8
16,0
17,2
18,0
19,8
20,9
21,8
22,9
23,0
24,6
25,7
26,3
27,3
28,8
29,9
30,7
31,4
32,1
33,3
34,1
35,5
36,1
37,9
38,5
39,9
40,8
41,4
42,1
43,6
44,2
45,3
46,2
47,5
48,3
49,2
50,3
51,6
52,5
53,3
54,1
55,1
56,9
57,1
58,9
59,8
60,3
61,5
62,4
63,2
64,6
65,5
66,2
67,0
68,5
69,7
70,4
71,3
72,1
73,3
74,6
75,9
76,5
77,2
78,5
79,4
80,8
81,4
82,1
83,4
84,0
85,3
86,4
87,5
88,1
89,5
90,6
91,6
92,2
93,8
94,8
95,3
96,1
97,2
98,2
99,4
100,7
101,1
102,9
103,8
104,3
105,4
106,3
107,9
108,2
109,2
110,0
111,0
112,1
113,6
114,8
115,0
116,4
117,5
118,4
119,9
120,8
121,9
122,8
123,7
124,9
125,0
126,2
127,3
128,1
129,9
130,6
131,7
132,4
133,3
134,5
135,1
136,9
137,1
138,9
139,4
140,4
141,5
142,8
143,0
144,9
145,8
146,2
147,1
148,9
149,4
150,3
151,2
152,3
153,3
154,6
155,8
156,1
157,7
158,8
159,9
160,0
161,6
162,1
163,3
164,7
165,8
166,1
167,0
168,9
169,3
170,0
171,9
172,8
173,1
174,1
175,7
176,9
177,0
178,2
179,6
180,9
181,6
182,2
183,4
184,8
185,9
186,8
187,2
188,0
189,7
190,3
191,0
192,5
193,2
194,4
195,8
196,0
197,3
198,3
199,5
200,6
201,0
202,9
203,5
204,3
205,7
206,4
207,9
208,5
209,9
210,7
211,0
212,7
213,5
214,2
215,9
216,8
217,5
218,0
219,0
220,0
221,0
222,7
223,4
224,1
225,5
226,8
227,6
228,8
229,4
230,3
231,0
232,3
233,6
234,5
235,1
236,9
237,5
238,2
239,4
240,3
241,2
242,8
243,1
244,9
245,6
246,2
247,9
248,6
249,9
250,7
251,4
252,2
253,5
254,8
255,6
256,7
257,0
258,0
259,9
260,1
261,1
262,8
263,9
264,8
265,1
266,2
267,3
268,6
269,3
270,0
271,3
272,3
273,6
274,1
275,9
276,0
277,3
278,5
279,1
280,8
281,1
282,1
283,1
284,3
285,4
286,0
287,4
288,8
289,8
290,3
291,9
292,2
293,0
294,7
295,8
296,2
297,4
298,2
299,5
300,1
301,0
302,7
303,9
304,1
305,6
306,2
307,5
308,8
309,6
310,9
311,4
312,9
313,5
314,9
315,6
316,0
317,0
318,8
319,8
320,8
321,2
322,8
323,9
324,9
325,8
326,4
327,7
328,2
329,2
330,3
331,5
332,5
333,1
334,2
335,8
336,3
337,8
338,7
339,4
340,1
341,9
342,0
343,8
344,0
345,9
346,8
347,5
348,0
349,6
350,7
351,3
352,1
353,6
354,0
355,7
356,1
357,0
358,8
359,1
360,7
361,2
362,3
363,7
364,4
365,3
366,7
367,4
368,1
369,2
370,2
371,5
372,6
373,4
374,2
375,4
376,2
377,1
378,2
379,3
380,3
381,6
382,4
383,1
384,8
385,1
386,6
387,6
388,8
389,6
390,8
391,9
392,4
393,9
394,3
395,3
396,4
397,6
398,6
399,4
400,8
401,8
402,7
403,5
404,2
405,3
406,4
407,6
408,4
409,5
410,8
411,4
412,7
413,6
414,4
415,0
416,7
417,0
418,3
419,3
420,6
421,9
422,3
423,1
424,9
425,2
426,0
427,7
428,3
429,3
430,4
431,8
432,8
433,6
434,0
435,8
436,3
437,5
438,1
439,9
440,1
441,6
442,6
443,7
444,0
445,8
446,0
447,1
448,7
449,6
450,7
451,0
452,0
453,3
454,0
455,9
456,2
457,3
458,2
459,7
460,7
461,2
462,9
463,6
464,3
465,3
466,5
467,6
468,0
469,0
470,9
471,8
472,2
473,1
474,9
475,9
476,6
477,0
478,8
479,7
480,5
481,7
482,9
483,9
484,6
485,8
486,8
487,1
488,5
489,4
490,2
491,0
492,8
493,8
494,6
495,2
496,4
497,0
498,9
499,1
500,5
501,9
502,1
503,4
504,7
505,9
506,9
507,5
508,1
509,2
510,5
511,4
512,6
513,4
514,1
515,1
516,7
517,2
518,5
519,0
520,6
521,5
522,3
523,9
524,5
525,9
526,2
527,2
528,9
529,5
530,0
531,1
532,0
533,5
534,6
535,1
536,7
537,9
538,1
539,4
540,6
541,9
542,2
543,2
544,7
545,7
546,3
547,4
548,8
549,5
550,8
551,9
552,6
553,3
554,7
555,0
556,4
557,7
558,0
559,9
560,2
561,8
562,3
563,3
564,8
565,4
566,3
567,3
568,8
569,8
570,8
571,3
572,0
573,1
574,4
575,6
576,3
577,6
578,3
579,0
580,0
581,4
582,4
583,0
584,2
585,6
586,1
587,3
588,2
589,3
590,0
591,0
592,9
593,2
594,7
595,9
596,7
597,4
598,3
599,4
600,1
601,2
