Id,Category
1,9
2,8
3,4
4,7
5,4
6,1
7,7
8,0
9,2
10,7
11,7
12,2
13,4
14,9
15,0
16,1
17,1
18,8
19,5
20,6
21,3
22,1
23,3
24,5
25,6
26,2
27,3
28,2
29,9
30,4
31,4
32,8
33,6
34,9
35,7
36,2
37,7
38,9
39,5
40,9
41,1
42,9
43,4
44,4
45,4
46,8
47,7
48,2
49,3
50,6
51,1
52,8
53,0
54,4
55,6
56,8
57,6
58,3
59,2
60,1
61,9
62,7
63,6
64,7
65,2
66,3
67,7
68,8
69,5
70,0
71,6
72,5
73,5
74,8
75,8
76,8
77,1
78,4
79,9
80,8
81,4
82,4
83,7
84,4
85,0
86,4
87,5
88,7
89,7
90,3
91,7
92,8
93,1
94,7
95,5
96,7
97,0
98,5
99,8
100,4
101,5
102,8
103,9
104,1
105,6
106,7
107,1
108,1
109,3
110,5
111,8
112,4
113,9
114,2
115,7
116,0
117,7
118,9
119,1
120,7
121,9
122,4
123,1
124,0
125,8
126,4
127,5
128,6
129,3
130,4
131,3
132,4
133,0
134,2
135,3
136,7
137,6
138,2
139,4
140,5
141,2
142,5
143,6
144,4
145,9
146,8
147,3
148,2
149,8
150,8
151,7
152,6
153,9
154,9
155,8
156,0
157,6
158,5
159,1
160,7
161,8
162,8
163,3
164,2
165,9
166,4
167,1
168,8
169,5
170,4
171,2
172,6
173,7
174,8
175,2
176,8
177,8
178,6
179,1
180,7
181,8
182,5
183,5
184,1
185,7
186,8
187,8
188,7
189,9
190,1
191,5
192,8
193,0
194,1
195,8
196,2
197,6
198,4
199,8
200,8
201,0
202,2
203,9
204,6
205,2
206,4
207,5
208,1
209,1
210,5
211,5
212,3
213,9
214,2
215,8
216,0
217,4
218,2
219,3
220,6
221,7
222,1
223,7
224,7
225,4
226,2
227,8
228,8
229,0
230,9
231,8
232,4
233,9
234,7
235,1
236,2
237,1
238,1
239,0
240,7
241,5
242,3
243,8
244,7
245,6
246,1
247,1
248,3
249,7
250,4
251,9
252,3
253,8
254,8
255,9
256,4
257,9
258,6
259,9
260,2
261,6
262,9
263,5
264,2
265,3
266,5
267,8
268,5
269,4
270,6
271,3
272,7
273,0
274,4
275,8
276,5
277,8
278,6
279,7
280,4
281,5
282,0
283,4
284,8
285,2
286,8
287,7
288,2
289,7
290,8
291,1
292,7
293,8
294,2
295,1
296,2
297,0
298,5
299,6
300,7
301,8
302,0
303,2
304,7
305,5
306,6
307,9
308,2
309,6
310,4
311,3
312,0
313,6
314,1
315,0
316,8
317,2
318,5
319,3
320,9
321,0
322,4
323,2
324,6
325,1
326,4
327,1
328,7
329,9
330,6
331,9
332,4
333,7
334,0
335,3
336,9
337,9
338,4
339,4
340,6
341,5
342,8
343,0
344,8
345,3
346,3
347,9
348,7
349,2
350,2
351,1
352,9
353,3
354,4
355,2
356,7
357,2
358,0
359,0
360,2
361,7
362,6
363,7
364,1
365,2
366,6
367,0
368,6
369,3
370,6
371,2
372,4
373,5
374,0
375,6
376,7
377,0
378,8
379,2
380,8
381,7
382,8
383,6
384,6
385,2
386,1
387,3
388,5
389,3
390,7
391,2
392,6
393,9
394,6
395,9
396,6
397,8
398,5
399,3
400,7
401,5
402,4
403,7
404,9
405,8
406,7
407,9
408,7
409,1
410,6
411,2
412,5
413,7
414,2
415,1
416,0
417,0
418,1
419,9
420,6
421,0
422,6
423,9
424,7
425,5
426,8
427,1
428,6
429,6
430,7
431,6
432,2
433,1
434,0
435,9
436,6
437,8
438,1
439,9
440,5
441,4
442,9
443,7
444,3
445,4
446,9
447,0
448,1
449,0
450,4
451,3
452,1
453,7
454,7
455,1
456,6
457,1
458,7
459,2
460,2
461,5
462,4
463,4
464,7
465,0
466,5
467,3
468,1
469,4
470,6
471,9
472,3
473,7
474,6
475,9
476,1
477,3
478,6
479,0
480,2
481,1
482,0
483,9
484,9
485,2
486,2
487,3
488,7
489,1
490,7
491,3
492,2
493,6
494,5
495,1
496,0
497,4
498,1
499,1
500,6
501,3
502,4
503,6
504,9
505,3
506,0
507,9
508,2
509,3
510,0
511,2
512,5
513,4
514,8
515,2
516,0
517,3
518,8
519,6
520,3
521,2
522,9
523,0
524,2
525,2
526,9
527,1
528,7
529,0
530,2
531,9
532,3
533,9
534,0
535,3
536,9
537,9
538,5
539,4
540,1
541,1
542,5
543,0
544,4
545,8
546,2
547,7
548,6
549,9
550,4
551,5
552,8
553,3
554,7
555,8
556,2
557,1
558,8
559,6
560,5
561,5
562,1
563,9
564,7
565,0
566,7
567,2
568,5
569,1
570,8
571,2
572,0
573,9
574,1
575,6
576,3
577,6
578,8
579,9
580,6
581,2
582,4
583,7
584,7
585,9
586,8
587,2
588,5
589,2
590,5
591,0
592,6
593,0
594,6
595,2
596,2
597,0
598,8
599,1
600,8
601,6
602,3
603,4
604,1
605,0
606,8
607,1
608,6
609,4
610,5
611,3
612,1
613,4
614,5
615,1
616,5
617,0
618,6
619,4
620,0
621,4
622,6
623,9
624,9
625,7
626,8
627,9
628,6
629,0
630,2
631,3
632,0
633,6
634,3
635,6
636,8
637,9
638,8
639,6
640,9
641,9
642,4
643,1
644,8
645,1
646,2
647,7
648,3
649,9
650,5
651,8
652,2
653,9
654,4
655,7
656,8
657,2
658,8
659,9
660,4
661,4
662,9
663,3
664,9
665,5
666,8
667,1
668,1
669,5
670,5
671,2
672,5
673,8
674,4
675,7
676,2
677,9
678,3
679,9
680,0
681,3
682,2
683,2
684,8
685,5
686,2
687,1
688,2
689,5
690,5
691,5
692,2
693,2
694,0
695,5
696,4
697,5
698,2
699,0
700,8
701,8
702,3
703,7
704,2
705,2
706,4
707,6
708,2
709,7
710,8
711,1
712,4
713,4
714,3
715,4
716,1
717,6
718,1
719,3
720,0
721,0
722,7
723,8
724,8
725,1
726,8
727,9
728,3
729,0
730,3
731,9
732,5
733,1
734,2
735,4
736,9
737,2
738,9
739,4
740,8
741,2
742,7
743,0
744,4
745,1
746,9
747,6
748,3
749,5
750,1
751,5
752,6
753,8
754,6
755,7
756,8
757,8
758,6
759,7
760,0
761,0
762,1
763,7
764,5
765,5
766,4
767,3
768,3
769,4
770,4
771,8
772,2
773,7
774,4
775,6
776,7
777,4
778,2
779,3
780,0
781,4
782,2
783,5
784,8
785,9
786,1
787,9
788,8
789,0
790,2
791,6
792,9
793,4
794,9
795,8
796,8
797,7
798,4
799,7
800,8
801,6
802,5
803,8
804,6
805,8
806,7
807,9
808,2
809,7
810,8
811,0
812,6
813,7
814,0
815,3
816,5
817,7
818,9
819,8
820,8
821,8
822,3
823,5
824,7
825,0
826,9
827,8
828,1
829,3
830,4
831,1
832,4
833,2
834,3
835,2
836,0
837,0
838,2
839,3
840,4
841,7
842,7
843,3
844,0
845,1
846,2
847,9
848,1
849,3
850,9
851,2
852,2
853,0
854,8
855,4
856,3
857,2
858,4
859,7
860,3
861,7
862,4
863,2
864,2
865,8
866,2
867,0
868,2
869,4
870,1
871,8
872,2
873,9
874,7
875,4
876,7
877,9
878,0
879,1
880,6
881,6
882,1
883,4
884,5
885,6
886,2
887,1
888,5
889,3
890,9
891,0
892,1
893,4
894,3
895,8
896,3
897,8
898,6
899,6
900,6
901,3
902,2
903,9
904,1
905,0
906,7
907,0
908,1
909,5
910,1
911,6
912,9
913,1
914,4
915,7
916,4
917,8
918,0
919,4
920,2
921,1
922,0
923,8
924,0
925,1
926,2
927,9
928,8
929,8
930,9
931,2
932,5
933,2
934,1
935,8
936,7
937,0
938,4
939,2
940,6
941,8
942,4
943,1
944,5
945,5
946,8
947,7
948,4
949,9
950,8
951,0
952,3
953,3
954,7
955,0
956,8
957,6
958,0
959,1
960,7
961,8
962,2
963,9
964,7
965,1
966,6
967,6
968,2
969,5
970,5
971,7
972,7
973,1
974,2
975,2
976,8
977,4
978,3
979,1
980,3
981,9
982,3
983,5
984,5
985,0
986,4
987,7
988,0
989,0
990,6
991,3
992,9
993,3
994,0
995,1
996,9
997,3
998,5
999,6
1000,2
1001,4
1002,6
1003,0
1004,0
1005,2
1006,0
1007,3
1008,6
1009,6
1010,4
1011,1
1012,1
1013,5
1014,7
1015,6
1016,9
1017,7
1018,0
1019,0
1020,6
1021,1
1022,6
1023,7
1024,9
1025,8
1026,8
1027,3
1028,4
1029,9
1030,9
1031,8
1032,7
1033,1
1034,6
1035,3
1036,0
1037,0
1038,6
1039,8
1040,3
1041,6
1042,4
1043,6
1044,4
1045,7
1046,7
1047,4
1048,3
1049,5
1050,0
1051,4
1052,3
1053,3
1054,5
1055,0
1056,2
1057,0
1058,1
1059,3
1060,3
